date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:03:12	4348/4348	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2026%20Apr%202021%2008:42:16%20GMT	https://plainthing.studio/images/grow-social.svg	/home/mujahid/websites/plainthing/plainthing.studio/images/grow-social.svg	(from https://plainthing.studio/)
17:03:13	72706/72706	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2026%20Apr%202021%2008:42:16%20GMT	https://plainthing.studio/images/footer-big-new.svg	/home/mujahid/websites/plainthing/plainthing.studio/images/footer-big-new.svg	(from https://plainthing.studio/)
17:03:14	2792/2792	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2026%20Apr%202021%2008:42:16%20GMT	https://plainthing.studio/images/footer-planet.svg	/home/mujahid/websites/plainthing/plainthing.studio/images/footer-planet.svg	(from https://plainthing.studio/)
17:03:15	5657/5657	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2026%20Apr%202021%2008:42:16%20GMT	https://plainthing.studio/images/footer-planet2.svg	/home/mujahid/websites/plainthing/plainthing.studio/images/footer-planet2.svg	(from https://plainthing.studio/)
17:03:16	33131/33131	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2026%20Apr%202021%2008:42:16%20GMT	https://plainthing.studio/images/footer-astronout.svg	/home/mujahid/websites/plainthing/plainthing.studio/images/footer-astronout.svg	(from https://plainthing.studio/)
17:03:17	23949/23949	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2026%20Apr%202021%2008:42:16%20GMT	https://plainthing.studio/images/footer-stars.svg	/home/mujahid/websites/plainthing/plainthing.studio/images/footer-stars.svg	(from https://plainthing.studio/)
17:03:18	2640315/2640315	---M--	200	added ('OK')	image/png	date:Mon,%2026%20Apr%202021%2008:42:16%20GMT	https://plainthing.studio/images/photo.png	/home/mujahid/websites/plainthing/plainthing.studio/images/photo.png	(from https://plainthing.studio/)
17:03:18	1076/1076	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2026%20Apr%202021%2008:42:16%20GMT	https://plainthing.studio/images/facebook.svg	/home/mujahid/websites/plainthing/plainthing.studio/images/facebook.svg	(from https://plainthing.studio/)
17:03:19	2261/2261	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2026%20Apr%202021%2008:42:16%20GMT	https://plainthing.studio/images/dribble.svg	/home/mujahid/websites/plainthing/plainthing.studio/images/dribble.svg	(from https://plainthing.studio/)
17:03:20	2136/2136	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2026%20Apr%202021%2008:42:16%20GMT	https://plainthing.studio/images/instagram.svg	/home/mujahid/websites/plainthing/plainthing.studio/images/instagram.svg	(from https://plainthing.studio/)
17:03:21	3603/3603	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2026%20Apr%202021%2008:42:16%20GMT	https://plainthing.studio/images/behance.svg	/home/mujahid/websites/plainthing/plainthing.studio/images/behance.svg	(from https://plainthing.studio/)
17:03:22	948/948	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2026%20Apr%202021%2008:42:16%20GMT	https://plainthing.studio/images/menu.svg	/home/mujahid/websites/plainthing/plainthing.studio/images/menu.svg	(from https://plainthing.studio/)
17:03:23	917/917	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2026%20Apr%202021%2008:42:16%20GMT	https://plainthing.studio/images/x-icon.svg	/home/mujahid/websites/plainthing/plainthing.studio/images/x-icon.svg	(from https://plainthing.studio/)
17:03:25	523443/523443	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2026%20Apr%202021%2008:42:16%20GMT	https://plainthing.studio/js/webflow.js	/home/mujahid/websites/plainthing/plainthing.studio/js/webflow.js	(from https://plainthing.studio/)
17:03:25	89476/89476	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	https://d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8.js?site=5f0589db8eca4659e0913015	/home/mujahid/websites/plainthing/d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c89bee.js	(from https://plainthing.studio/)
17:03:26	6087/6087	---M-Z	200	added ('OK')	application/javascript	etag:W/%22609b4426-17c7%22	https://min30327.github.io/luxy.js/dist/js/luxy.js	/home/mujahid/websites/plainthing/min30327.github.io/luxy.js/dist/js/luxy.js	(from https://plainthing.studio/)
17:03:28	1027443/1027443	---M--	200	added ('OK')	image/png	date:Mon,%2026%20Apr%202021%2008:42:16%20GMT	https://plainthing.studio/images/IMG_1409.png	/home/mujahid/websites/plainthing/plainthing.studio/images/IMG_1409.png	(from https://plainthing.studio/work.html)
17:03:30	437677/437677	---M--	200	added ('OK')	image/png	date:Mon,%2026%20Apr%202021%2008:42:16%20GMT	https://plainthing.studio/images/PER.png	/home/mujahid/websites/plainthing/plainthing.studio/images/PER.png	(from https://plainthing.studio/about-us.html)
17:03:30	459054/459054	---M--	200	added ('OK')	image/png	date:Mon,%2026%20Apr%202021%2008:42:16%20GMT	https://plainthing.studio/images/NERI.png	/home/mujahid/websites/plainthing/plainthing.studio/images/NERI.png	(from https://plainthing.studio/about-us.html)
17:03:32	284758/284758	---M--	200	added ('OK')	image/png	date:Mon,%2026%20Apr%202021%2008:42:16%20GMT	https://plainthing.studio/images/ASEIF2.png	/home/mujahid/websites/plainthing/plainthing.studio/images/ASEIF2.png	(from https://plainthing.studio/about-us.html)
17:03:32	458503/458503	---M--	200	added ('OK')	image/png	date:Mon,%2026%20Apr%202021%2008:42:16%20GMT	https://plainthing.studio/images/HER.png	/home/mujahid/websites/plainthing/plainthing.studio/images/HER.png	(from https://plainthing.studio/about-us.html)
17:03:34	413280/413280	---M--	200	added ('OK')	image/png	date:Mon,%2026%20Apr%202021%2008:42:16%20GMT	https://plainthing.studio/images/AHMAD.png	/home/mujahid/websites/plainthing/plainthing.studio/images/AHMAD.png	(from https://plainthing.studio/about-us.html)
17:03:35	485081/485081	---M--	200	added ('OK')	image/png	date:Mon,%2026%20Apr%202021%2008:42:16%20GMT	https://plainthing.studio/images/MAKRUF.png	/home/mujahid/websites/plainthing/plainthing.studio/images/MAKRUF.png	(from https://plainthing.studio/about-us.html)
17:03:36	495879/495879	---M--	200	added ('OK')	image/png	date:Mon,%2026%20Apr%202021%2008:42:16%20GMT	https://plainthing.studio/images/THEO.png	/home/mujahid/websites/plainthing/plainthing.studio/images/THEO.png	(from https://plainthing.studio/about-us.html)
17:03:37	487371/487371	---M--	200	added ('OK')	image/png	date:Mon,%2026%20Apr%202021%2008:42:16%20GMT	https://plainthing.studio/images/AGUM.png	/home/mujahid/websites/plainthing/plainthing.studio/images/AGUM.png	(from https://plainthing.studio/about-us.html)
17:03:39	652578/652578	---M--	200	added ('OK')	image/png	date:Mon,%2026%20Apr%202021%2008:42:16%20GMT	https://plainthing.studio/images/IMG_1618.png	/home/mujahid/websites/plainthing/plainthing.studio/images/IMG_1618.png	(from https://plainthing.studio/about-us.html)
17:03:39	667265/667265	---M--	200	added ('OK')	image/png	date:Mon,%2026%20Apr%202021%2008:42:16%20GMT	https://plainthing.studio/images/IMG_1679.png	/home/mujahid/websites/plainthing/plainthing.studio/images/IMG_1679.png	(from https://plainthing.studio/about-us.html)
17:03:39	635095/635095	---M--	200	added ('OK')	image/png	date:Mon,%2026%20Apr%202021%2008:42:16%20GMT	https://plainthing.studio/images/IMG_1635.png	/home/mujahid/websites/plainthing/plainthing.studio/images/IMG_1635.png	(from https://plainthing.studio/about-us.html)
